,EspnId,Name,Util,P,SP,Espn_proj,OF,3B,SS,1B,2B,C,RP
1867,40971,Braxton Garrett,False,True,True,False,False,False,False,False,False,False,False
1868,34848,Joe Musgrove,False,True,True,False,False,False,False,False,False,False,False
1869,35238,Willie Calhoun,True,False,False,False,False,False,False,False,False,False,False
1870,4417230,Gavin Stone,False,True,True,False,False,False,False,False,False,False,False
1871,5133837,Colton Gordon,False,True,True,False,False,False,False,False,False,False,False
1872,5123999,Carlos Rodriguez,False,True,True,False,False,False,False,False,False,False,False
1873,4421205,Isaac Coffey,False,True,True,False,False,False,False,False,False,False,False
1874,5214984,Jonah Tong,False,True,True,False,False,False,False,False,False,False,False
1875,42556,Aj Blubaugh,False,True,True,False,False,False,False,False,False,False,False
1876,4420174,Will Dion,False,True,True,False,False,False,False,False,False,False,False
1877,5149068,Colt Emerson,True,False,False,False,False,False,True,False,False,False,False
1878,4918251,Robert Gasser,False,True,True,False,False,False,False,False,False,False,False
1879,4917843,Joander David Suarez,False,True,True,False,False,False,False,False,False,False,False
1880,4917902,Ricky Tiedemann,False,True,True,False,False,False,False,False,False,False,False
1881,4297904,Ryan Webb,False,True,True,False,False,False,False,False,False,False,False
1882,4917788,Joe Rock,False,True,True,False,False,False,False,False,False,False,False
1883,4742103,Dominic Hamel,False,True,True,False,False,False,False,False,False,False,False
1884,4414215,Christian Scott,False,True,True,False,False,False,False,False,False,False,False
1885,5007605,River Ryan,False,True,True,False,False,False,False,False,False,False,False
1886,4418686,Jack Perkins,False,True,True,False,False,False,False,False,False,False,False
1887,41975,Caleb Boushley,False,True,True,False,False,False,False,False,False,False,False
1888,43031,David Villar,True,False,False,34.0,False,False,False,True,False,False,False
1889,5195257,Julian Aguiar,False,True,True,False,False,False,False,False,False,False,False
1890,5194673,Justin Armbruester,False,True,True,False,False,False,False,False,False,False,False
1891,5195198,Chandler Champlain,False,True,True,False,False,False,False,False,False,False,False
1892,4414160,Doug Nikhazy,False,True,True,False,False,False,False,False,False,False,False
1893,43001,Cam Michael Devanney,True,False,False,False,False,False,True,False,False,False,False
1894,4298177,Ian Bedell,False,True,True,False,False,False,False,False,False,False,False
1895,4917815,Robinson Pina,False,True,True,False,False,False,False,False,False,False,False
1896,5134517,George Klassen,False,True,True,False,False,False,False,False,False,False,False
1897,36182,Jay Groome,False,True,True,False,False,False,False,False,False,False,False
1898,4919919,Edwin Arroyo,True,False,False,False,False,False,True,False,False,False,False
1899,4917634,Darius Vines,False,True,True,False,False,False,False,False,False,False,False
1900,4918164,Michael Morales,False,True,True,False,False,False,False,False,False,False,False
1901,4919927,Ryan Murphy,False,True,True,False,False,False,False,False,False,False,False
1902,41849,Jason Alexander,False,True,True,False,False,False,False,False,False,False,False
1903,4883501,Kyle Tyler,False,True,True,False,False,False,False,False,False,False,False
1904,5080752,Jackson Ferris,False,True,True,False,False,False,False,False,False,False,False
1905,42492,Hyun-il Choi,False,True,True,False,False,False,False,False,False,False,False
1906,39641,Nick Pratto,True,False,False,38.0,False,False,False,True,False,False,False
1907,5124007,Emiliano Teodo,False,True,True,False,False,False,False,False,False,False,False
1908,4917659,Wikelman Gonzalez,False,True,True,False,False,False,False,False,False,False,False
1909,33259,Harold Ramirez,True,False,False,False,False,False,False,False,False,False,False
1910,40949,Luis Medina,False,True,True,False,False,False,False,False,False,False,False
1911,39948,John Means,False,True,True,False,False,False,False,False,False,False,False
1912,4424137,Rodney Boone,False,True,True,False,False,False,False,False,False,False,False
1913,34534,Joey Meneses,True,False,False,18.0,False,False,False,True,False,False,False
1914,42431,Brandon Williamson,False,True,True,False,False,False,False,False,False,False,False
1915,4920837,Jeremy Rivas,True,False,False,False,False,False,True,False,False,False,False
1916,39823,Yonny Chirinos,False,True,True,False,False,False,False,False,False,False,False
1917,35949,Casey Lawrence,False,True,True,False,False,False,False,False,False,False,False
1918,5132219,Chase Hampton,False,True,True,False,False,False,False,False,False,False,False
1919,42353,Antonio Santos,False,True,True,False,False,False,False,False,False,False,False
1920,5135493,Timothy Elko,True,False,False,32.0,False,False,False,True,False,False,False
1921,4722916,Luis Perales,False,True,True,False,False,False,False,False,False,False,False
1922,4722894,Marco Raya,False,True,True,False,False,False,False,False,False,False,False
1923,34927,James Kaprielian,False,True,True,False,False,False,False,False,False,False,False
1924,4722955,Carlos Duran,False,True,True,False,False,False,False,False,False,False,False
1925,32409,Michael Mariot,False,True,True,False,False,False,False,False,False,False,False
1926,4917904,Brock Selvidge,False,True,True,False,False,False,False,False,False,False,False
1927,4414154,Gunnar Hoglund,False,True,True,False,False,False,False,False,False,False,False
1928,4917806,Jaime Melendez,False,True,True,False,False,False,False,False,False,False,True
1929,4926296,Jac Caglianone,True,False,False,False,False,False,False,True,False,False,False
1930,4917813,Ben Kudrna,False,True,True,False,False,False,False,False,False,False,False
1931,35159,Jason Vosler,True,False,False,False,False,False,False,True,False,False,False
1932,39120,Trenton Brooks,True,False,False,False,False,False,False,True,False,False,False
1933,41222,Elehuris Montero,True,False,False,0.0,False,False,False,True,False,False,False
1934,42459,Andry Lara,False,True,True,False,False,False,False,False,False,False,False
1935,4297927,Tommy Mace,False,True,True,False,False,False,False,False,False,False,False
1936,41340,Richard Gallardo,False,True,True,False,False,False,False,False,False,False,False
1937,4684829,Dylan File,False,True,True,False,False,False,False,False,False,False,False
1938,28955,Johnny Cueto,False,True,True,False,False,False,False,False,False,False,False
1939,4722877,Jerming Rosario,False,True,True,False,False,False,False,False,False,False,False
1940,36157,Dinelson Lamet,False,True,True,False,False,False,False,False,False,False,False
1941,4918253,Victor Lizarraga,False,True,True,False,False,False,False,False,False,False,False
1942,35673,Jared Walsh,True,False,False,False,False,False,False,True,False,False,False
1943,4718970,Mick Abel,False,True,True,False,False,False,False,False,False,False,False
1944,5149070,George Lombard Jr.,True,False,False,False,False,False,True,False,False,False,False
1945,41616,Tanner Tully,False,True,True,False,False,False,False,False,False,False,False
1946,41004,Max Castillo,False,True,True,False,False,False,False,False,False,False,False
1947,5195677,Rhett Kouba,False,True,True,False,False,False,False,False,False,False,False
1948,4833695,Chad Dallas,False,True,True,False,False,False,False,False,False,False,False
1949,4635332,Cooper Hjerpe,False,True,True,False,False,False,False,False,False,False,False
1950,41071,Lachlan Wells,False,True,True,False,False,False,False,False,False,False,False
1951,4683389,Tekoah Roby,False,True,True,False,False,False,False,False,False,False,False
1952,4413868,Cole Wilcox,False,True,True,False,False,False,False,False,False,False,False
1953,4918238,Anthony Solometo,False,True,True,False,False,False,False,False,False,False,False
1954,4917822,Denzer Guzman,True,False,False,False,False,False,True,False,False,False,False
1955,41567,Spenser Watkins,False,True,True,False,False,False,False,False,False,False,False
1956,42740,Andre Lipcius,True,False,False,False,False,False,False,True,False,False,False
1957,31980,James Paxton,False,True,True,False,False,False,False,False,False,False,False
1958,40889,Darick Hall,True,False,False,False,False,False,False,True,False,False,False
1959,5194635,Abimelec Ortiz,True,False,False,False,False,False,False,True,False,False,False
1960,42210,Chris Vallimont,False,True,True,False,False,False,False,False,False,False,False
1961,31091,Julio Teheran,False,True,True,False,False,False,False,False,False,False,False
1962,33158,Marco Gonzales,False,True,True,False,False,False,False,False,False,False,False
1963,4669421,Carson Taylor,True,False,False,False,False,False,False,True,False,False,False
1964,4306795,Chris Clarke,False,True,True,False,False,False,False,False,False,False,False
1965,4179552,Peyton Battenfield,False,True,True,False,False,False,False,False,False,False,False
1966,4917823,Mason Albright,False,True,True,False,False,False,False,False,False,False,False
1967,42424,Matt Thompson,False,True,True,False,False,False,False,False,False,False,False
1968,4081414,Blair Henley,False,True,True,False,False,False,False,False,False,False,False
1969,4905922,Jonathan Bermudez,False,True,True,False,False,False,False,False,False,False,False
1970,39872,Brett Kennedy,False,True,True,False,False,False,False,False,False,False,False
1971,35040,Nolan Watson,False,True,True,False,False,False,False,False,False,False,False
1972,39677,Kristian Robinson,True,False,False,False,True,False,False,False,False,False,False
1973,4872657,Benny Montgomery,True,False,False,False,True,False,False,False,False,False,False
1974,4621489,Sam Bachman,False,True,True,False,False,False,False,False,False,False,False
1975,31815,Dallas Keuchel,False,True,True,False,False,False,False,False,False,False,False
1976,34837,Luis Cessa,False,True,True,False,False,False,False,False,False,False,False
1977,33829,Zach Davies,False,True,True,False,False,False,False,False,False,False,False
1978,4918067,Christian McGowan,False,True,True,False,False,False,False,False,False,False,False
1979,4717902,Alex Santos II,False,True,True,False,False,False,False,False,False,False,False
1980,29989,Paolo Espino,False,True,True,False,False,False,False,False,False,False,False
1981,4298337,Dustin Saenz,False,True,True,False,False,False,False,False,False,False,False
1982,4722850,Yordys Valdes,True,False,False,False,False,False,True,False,True,False,False
1983,5080779,Xavier Isaac,True,False,False,False,False,False,False,True,False,False,False
1984,4619813,Thomas Farr,False,True,True,False,False,False,False,False,False,False,False
1985,4228383,Karl Kauffmann,False,True,True,False,False,False,False,False,False,False,False
1986,42483,Kendall Williams,False,True,True,False,False,False,False,False,False,False,False
1987,31446,Kevin Kiermaier,True,False,False,0.0,True,False,False,False,False,False,False
1988,32851,Daniel Vogelbach,True,False,False,0.0,False,False,False,False,False,False,False
1989,41480,Drew Carlton,False,True,False,False,False,False,False,False,False,False,True
1990,30237,Carlos Perez,True,False,False,False,False,False,False,False,False,True,False
1991,4414339,Brandon Young,False,True,True,61.0,False,False,False,False,False,False,False
1992,5010414,Jake Alu,True,False,False,False,True,False,False,False,True,False,False
1993,28670,Joey Votto,True,False,False,False,False,False,False,True,False,False,False
1994,5016964,Damiano Palmegiani,True,False,False,False,False,True,False,True,False,False,False
1995,31779,Jiman Choi,True,False,False,False,False,False,False,True,False,False,False
1996,5085213,Haydn McGeary,True,False,False,False,False,False,False,True,False,False,False
1997,32742,Jake Lamb,True,False,False,34.0,False,False,False,True,False,False,False
1998,41693,Alfonso Rivas III,True,False,False,False,True,False,False,True,False,False,False
1999,31983,Erasmo Ramirez,False,True,False,False,False,False,False,False,False,False,True
