Name_x,NameASCII,Pro,FangraphsId,PTS,PTS/G,VORP,isRP,EspnId,TJ,Level,Yrs,Cost,Note,contractType,EspnId_y,Name_y,Espn_proj,C,1B,2B,3B,SS,OF,Util,SP,RP,P,DefaultPos,PosStr,Projected $
Marcell Ozuna,Marcell Ozuna,ATL,10324,508.0,3.44,88.10000000000002,False,31668,FA,MLB,1,$1.00,,contract,31668,Marcell Ozuna,552.0,False,False,False,False,False,False,True,False,False,False,Util,DH,7.488500000000003
Oneil Cruz,Oneil Cruz,PIT,21711,508.0,3.53,88.10000000000002,False,39712,Bayou Shooters,MLB,2,$1.00,@,pre-arb,39712,Oneil Cruz,483.0,False,False,False,False,True,True,True,False,False,False,OF,OF/SS,7.488500000000003
Brandon Pfaadt,Brandon Pfaadt,ARI,27782,396.63,12.7,70.69100000000003,False,4721302,Young Bucks,MLB,1,$1.00,@,pre-arb,4721302,Brandon Pfaadt,487.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.422555000000003
Brayan Bello,Brayan Bello,BOS,23920,394.31,14.19,68.37100000000004,False,4720856,Young Bucks,MLB,1,$1.00,@,pre-arb,4720856,Brayan Bello,434.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.178955000000004
Erick Fedde,Erick Fedde,STL,17425,393.48,13.57,67.54100000000005,False,33793,FA,MLB,1,$1.00,,contract,33793,Erick Fedde,432.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.091805000000005
Ranger Suárez,Ranger Suarez,PHI,17277,393.04,12.21,67.10100000000006,False,39817,FA,MLB,1,$1.00,,contract,39817,Ranger Suarez,432.0,False,False,False,False,False,False,False,True,False,True,SP,SP,7.0456050000000054
Brady Singer,Brady Singer,CIN,25377,392.49,13.54,66.55100000000004,False,41172,Bayou Shooters,MLB,2,$3.00,,contract,41172,Brady Singer,453.0,False,False,False,False,False,False,False,True,False,True,SP,SP,6.987855000000004
Anthony Santander,Anthony Santander,TOR,14551,499.0,3.38,79.10000000000002,False,36084,FA,MLB,1,$1.00,,contract,36084,Anthony Santander,554.0,False,False,False,False,False,True,True,False,False,False,OF,OF,6.723500000000002
Willy Adames,Willy Adames,SFG,15986,498.0,3.31,78.10000000000002,False,33675,FA,MLB,1,$1.00,,contract,33675,Willy Adames,526.0,False,False,False,False,True,False,True,False,False,False,SS,SS,6.638500000000002
Ryan Walker,Ryan Walker,SFG,20423,458.75,7.04,120.35199999999998,True,5000950,FA,MLB,1,$1.00,,contract,5000950,Ryan Walker,431.0,False,False,False,False,False,False,False,False,True,True,RP,RP,6.619359999999999
Ian Happ,Ian Happ,CHC,17919,496.0,3.31,76.10000000000002,False,34945,Structure Fire,MLB,1,$4.05,,contract,34945,Ian Happ,545.0,False,False,False,False,False,True,True,False,False,False,OF,OF,6.468500000000002
Teoscar Hernández,Teoscar Hernandez,LAD,13066,496.0,3.4,76.10000000000002,False,33377,FA,MLB,1,$1.00,,contract,33377,Teoscar Hernandez,532.0,False,False,False,False,False,True,True,False,False,False,OF,OF,6.468500000000002
Jameson Taillon,Jameson Taillon,CHC,11674,386.94,13.69,61.00100000000003,False,31258,Detroit Nittany Tide,AAA,0,AAA opt,,AAA opt,31258,Jameson Taillon,369.0,False,False,False,False,False,False,False,True,False,True,SP,SP,6.405105000000003
William Contreras,William Contreras,MIL,20503,492.0,3.32,72.10000000000002,False,39895,FA,MLB,1,$1.00,,contract,39895,William Contreras,529.0,True,False,False,False,False,False,True,False,False,False,C,C,6.1285000000000025
Félix Bautista,Felix Bautista,BAL,20666,449.62,8.67,111.22199999999998,True,4905859,Country Strong,MLB,3,$1.00,@,pre-arb,4905859,Felix Bautista,479.0,False,False,False,False,False,False,False,False,True,True,RP,RP,6.117209999999999
Andrés Muñoz,Andres Munoz,SEA,20373,446.84,7.79,108.44199999999996,True,40939,Structure Fire,MLB,1,$1.15,,contract,40939,Andres Munoz,467.0,False,False,False,False,False,False,False,False,True,True,RP,RP,5.9643099999999984
Robbie Ray,Robbie Ray,SFG,11486,382.11,14.84,56.17100000000005,False,32175,FA,MLB,1,$1.00,,contract,32175,Robbie Ray,337.0,False,False,False,False,False,False,False,True,False,True,SP,SP,5.897955000000005
Ronald Acuña Jr.,Ronald Acuna Jr.,ATL,18401,489.0,4.21,69.10000000000002,False,36185,FA,MLB,1,$1.00,,contract,36185,Ronald Acuna Jr.,499.0,False,False,False,False,False,True,True,False,False,False,OF,OF,5.873500000000003
Roki Sasaki,Roki Sasaki,LAD,sa3025686,381.08,16.78,55.14100000000002,False,5134638,Young Bucks,AA,U,$-,,AA,5134638,Roki Sasaki,395.0,False,False,False,False,False,False,False,True,False,True,SP,SP,5.789805000000002
Bryan Reynolds,Bryan Reynolds,PIT,19326,488.0,3.29,68.10000000000002,False,38980,FA,MLB,1,$1.00,,contract,38980,Bryan Reynolds,520.0,False,False,False,False,False,True,True,False,False,False,OF,OF,5.788500000000003
Matt Chapman,Matt Chapman,SFG,16505,484.0,3.27,64.10000000000002,False,33857,Ryno World,AAA,0,AAA opt,,AAA opt,33857,Matt Chapman,485.0,False,False,False,True,False,False,True,False,False,False,3B,3B,5.448500000000002
Jeff Hoffman,Jeff Hoffman,TOR,17432,435.26,7.2,96.86199999999997,True,33841,FA,MLB,1,$1.00,,contract,33841,Jeff Hoffman,384.0,False,False,False,False,False,False,False,False,True,True,RP,RP,5.327409999999998
Merrill Kelly,Merrill Kelly,ARI,11156,376.56,14.67,50.62100000000004,False,32968,FA,MLB,1,$1.00,,contract,32968,Merrill Kelly,417.0,False,False,False,False,False,False,False,True,False,True,SP,SP,5.315205000000004
Wyatt Langford,Wyatt Langford,TEX,33333,482.0,3.48,62.10000000000002,False,4719324,Orlando Renegades,AA,U,$-,@,pre-arb,4719324,Wyatt Langford,504.0,False,False,False,False,False,True,True,False,False,False,OF,OF,5.278500000000002
Shane McClanahan,Shane McClanahan,TBR,21483,375.92,14.3,49.98100000000005,False,41199,Structure Fire,MLB,1,40%,¹,arb1,41199,Shane McClanahan,346.0,False,False,False,False,False,False,False,True,False,True,SP,SP,5.248005000000005
Marcus Semien,Marcus Semien,TEX,12533,481.0,3.26,61.10000000000002,False,32146,FA,MLB,1,$1.00,,contract,32146,Marcus Semien,544.0,False,False,True,False,False,False,True,False,False,False,2B,2B,5.193500000000002
