Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Davis Schneider","TOR",57.878,221.854,193.4,41.221,22.6623,9.84383,0.886672,7.82814,25.7369,25.1429,24.1934,0.0111093,65.9994,2.74958,1.41124,0.0991193,1.89399,2.90495,0.554574,0.213138,0.109051,0.297491,0.366571,0.307385,0.394635,0.308598,0.70202,0.181497,4.60786,0.27601,-0.25547,-0.0350336,25.6697,-0.28233,102.213,-0.290504,0.992708,0.27119946479797363,-2.830095589160919,0.499525,701.489990234375,2.87443,0.535793,1.01408,2.87443,-0.535793,3.6479,230.4,3.972413793,230.4,3.972413793,,,,,,,,,,,,,,,,,,,"Davis Schneider","23565",676914
"Carlos Narvaez","BOS",56.478,191.151,168.873,35.3418,23.9497,7.31,0.144467,3.93757,19.0692,18.7346,18.3456,0.610617,59.2852,2.6561,1.15704,0.118949,2.2524,1.83102,0.521372,0.20928,0.0959745,0.310148,0.309447,0.294943,0.324228,0.276868,0.619171,0.114948,3.40892,0.294026,-0.0164808,-0.194911,17.2355,-5.12493,72.7496,-0.211392,0.266722,-6.171516180038452,4.6245918571949005,0.498335,737.4500122070312,0.928642,0.159575,1.20564,0.928642,-0.159575,3.39248,148.9,2.658928571,148.9,2.658928571,,,,,,,,,,,,,,,,,,,"Carlos Narvaez","19722",665966
"Randal Grichuk","ARI",71.029,270.197,248.816,63.7174,39.6503,13.2095,1.09744,9.76019,33.2177,35.4152,16.5349,0.178535,53.5903,2.94065,1.79048,0.115321,4.76711,0.946678,0.460022,0.256083,0.0611955,0.198337,0.308542,0.308028,0.435673,0.321113,0.743701,0.17959,3.53983,0.288147,-0.109821,-0.462213,33.9851,2.37789,104.163,-0.572035,-0.322763,0.7730811238288879,-4.995723068714142,0.493172,553.760009765625,2.75911,-0.137131,1.00436,2.75911,0.137131,3.66085,308.7,4.347887323,308.7,4.347887323,,,,,,,,,,,,,,,,,,,"Randal Grichuk","10243",545341
"Angel Martínez","CLE",45.4936,184.484,165.734,40.004,27.2214,8.42501,0.758124,3.59939,19.5635,16.976,14.1361,0.189315,36.2178,1.89087,1.56127,1.16122,2.78675,3.02663,1.10668,0.241374,0.0766252,0.19632,0.390308,0.305641,0.366511,0.295554,0.672152,0.125137,4.61955,0.285575,0.0285373,-0.182726,19.409,-2.17154,92.9329,-0.154188,-0.546276,-1.6459675431251526,0.1996636986732483,0.485773,745.7999877929688,3.04318,-0.568707,1.43371,3.04318,0.568707,3.08839,175.4,3.897777777,175.4,3.897777777,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
"Abraham Toro","BOS",25.1029,95.7452,87.1611,20.8163,14.0396,4.62544,0.3142,1.83702,10.7059,9.38418,6.86847,0.159827,17.2421,0.994795,0.44228,0.278552,1.47233,0.917211,0.328802,0.238826,0.0717369,0.180083,0.398355,0.300415,0.362331,0.291538,0.662746,0.123506,4.09506,0.276972,0.0518562,-0.12133,9.76359,-1.4365,83.069,-0.0694741,3.04759,-1.9243093729019165,3.399388164281845,0.481976,999,2.40204,-1.03159,1.69645,2.40204,1.03159,2.73807,89.8,3.592,89.8,3.592,,,,,,,,,,,,,,,,,,,"Abraham Toro","19844",647351
"Jhonkensy Noel","CLE",96.0024,364.766,332.789,74.4747,42.2449,15.0221,1.02549,16.1821,40.9949,47.7108,23.1911,0.477029,101.008,6.54343,2.06462,0.177929,4.52381,1.03533,0.356375,0.22379,0.063578,0.276913,0.229595,0.285827,0.42097,0.305553,0.706798,0.197181,3.08049,0.267811,-0.231774,-0.501595,41.3115,-1.35808,99.9664,-0.733369,0.225669,-0.7474063392728567,-6.749814808368683,0.481526,386.69000244140625,2.55027,0.524312,0.563299,2.55027,-0.524312,4.24893,372.9,3.884375,372.9,3.884375,,,,,,,,,,,,,,,,,,,"Jhonkensy Noel","24257",678877
"Coby Mayo","BAL",45.8289,167.202,149.943,34.5105,20.8267,7.65022,0.246236,5.78733,18.8744,19.5112,13.8338,0.469987,50.5607,2.25523,1.08002,0.089958,2.41835,1.19508,0.542914,0.230158,0.0827371,0.302394,0.273607,0.302789,0.400254,0.306327,0.703043,0.170096,3.34986,0.303388,0.0495812,-0.268513,19.0405,-0.518416,101.891,-0.218932,-0.311208,0.1429288238286972,-1.0970261096954346,0.477107,394.9200134277344,4.18169,1.80162,1.32418,4.18169,-1.80162,3.23443,172.7,3.754347826,172.7,3.754347826,,,,,,,,,,,,,,,,,,,"Coby Mayo","28312",691723
"Amed Rosario","WSN",61.6427,245.698,232.317,60.6904,44.8003,10.4123,2.27984,3.19794,26.7768,23.6127,9.91528,0.0362005,47.3433,1.75259,1.59511,0.117557,4.92908,7.74795,1.99671,0.261239,0.0403556,0.192689,0.209434,0.294642,0.366982,0.288388,0.661624,0.105742,6.12735,0.313531,0.0504645,0.295526,24.4321,-4.30914,84.1355,0.345991,0.141662,-4.31510591506958,0.7124280780553818,0.47294,539.0399780273438,2.46434,1.25621,1.46039,2.46434,-1.25621,3.05281,223.8,3.609677419,223.8,3.609677419,,,,,,,,,,,,,,,,,,,"Amed Rosario","15518",642708
"Javier Sanoja","MIA",49.5666,174.496,161.707,43.0857,31.2022,8.75238,1.27549,1.8557,17.4485,16.3284,10.4171,0.433199,15.1289,0.692994,1.15116,0.527952,4.40048,4.17708,1.46627,0.266444,0.0596981,0.0867005,0.688555,0.311527,0.370771,0.297931,0.682299,0.104327,5.1149,0.282643,-0.0298262,-0.0889577,18.692,-1.72022,87.5723,-0.118784,0.923692,-2.7119862511754036,1.4495728015899658,0.469756,999,2.97925,-0.222672,1.66732,2.97925,0.222672,2.77691,167.2,3.344,167.2,3.344,,,,,,,,,,,,,,,,,,,"Javier Sanoja","28253",691594
"J.D. Martinez",,90.9895,398.814,357.113,85.488,50.0699,19.3051,0.988384,15.1246,44.4209,53.6102,34.9378,0.580339,113.716,3.41761,3.21133,0.133665,7.39274,0.231613,0.122455,0.239386,0.0876042,0.285135,0.307237,0.310634,0.426038,0.3192,0.736671,0.186652,2.31695,0.303966,-1.14649,-0.696582,49.5482,2.89571,106.262,-1.84307,0,1.0787650346755981,-9.829113006591797,0.468616,666.8400268554688,3.72679,0.91968,0.501462,3.72679,-0.91968,4.33138,434.8,4.778021978,434.8,4.778021978,,,,,,,,,,,,,,,,,,,"J.D. Martinez","6184",502110
