NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Romy Gonzalez,BOS,2B/1B/SS,,FA,,,-2.0,86.0,84.0,2.56,-335.9,0.0
Nick Allen,ATL,SS,,FA,,,20.0,59.0,79.0,2.08,-340.9,0.0
Darell Hernaiz,ATH,3B/SS,,FA,,,-80.0,155.0,75.0,2.11,-344.9,0.0
Cole Young,SEA,2B/SS,,Springfield Zephyrs,U,$-,22.0,45.0,67.0,2.54,-352.9,0.0
Casey Schmitt,SFG,2B/SS,,FA,,,-22.0,84.0,62.0,2.31,-357.9,0.0
Max Acosta,MIA,2B/SS,,FA,,,61.0,0.0,61.0,2.39,-358.9,0.0
Vinny Capra,MIL,2B/3B/SS,,FA,,,46.0,13.0,59.0,1.98,-360.9,0.0
Gage Workman,CHC,3B/SS,,FA,,,13.0,41.0,54.0,2.77,-365.9,0.0
Tim Anderson,LAA,SS,,FA,,,-103.0,157.0,54.0,2.16,-365.9,0.0
Aledmys Diaz,,1B/SS,,FA,,,-9.0,62.0,53.0,2.06,-366.9,0.0
Scott Kingery,LAA,SS,,FA,,,-42.0,94.0,52.0,2.5,-367.9,0.0
Leo Jimenez,TOR,2B/SS,,FA,,,-55.0,106.0,51.0,2.21,-368.9,0.0
Marco Luciano,SFG,2B/SS,23.0,Structure Fire,U,$-,-20.0,69.0,49.0,2.15,-370.9,0.0
Max Muncy,ATH,2B/SS,,FA,,,7.0,36.0,43.0,2.36,-376.9,0.0
Leo Rivas,SEA,2B/SS,,FA,,,-4.0,44.0,40.0,2.04,-379.9,0.0
Jared Serna,MIA,SS,,FA,,,-61.0,99.0,38.0,2.54,-381.9,0.0
Alika Williams,PIT,2B/SS,,FA,,,-6.0,39.0,33.0,1.44,-386.9,0.0
Liover Peguero,PIT,2B/SS,,FA,,,-51.0,84.0,33.0,2.5,-386.9,0.0
Nicky Lopez,CHC,2B/SS,,FA,,,-65.0,97.0,32.0,1.83,-387.9,0.0
Michael Helman,STL,OF/SS,,FA,,,-15.0,46.0,31.0,1.69,-388.9,0.0
Nick Maton,CHW,3B/SS,,FA,,,-12.0,43.0,31.0,2.05,-388.9,0.0
Nick Ahmed,TEX,SS,,FA,,,-38.0,68.0,30.0,1.84,-389.9,0.0
Nasim Nunez,WSN,SS,,FA,,,9.0,18.0,27.0,1.71,-392.9,0.0
Marcelo Mayer,BOS,SS,,Structure Fire,8,$1.00,-87.0,113.0,26.0,2.54,-393.9,0.0
Nick Sogard,BOS,2B/SS,,FA,,,3.0,18.0,21.0,2.07,-398.9,0.0
Christian Cairo,ATL,2B/3B/SS,,FA,,,-20.0,37.0,17.0,1.7,-402.9,0.0
Ryan Kreidler,DET,SS,,FA,,,-21.0,36.0,15.0,1.51,-404.9,0.0
Mason McCoy,SDP,SS,,FA,,,-17.0,31.0,14.0,1.45,-405.9,0.0
Jonathan Ornelas,TEX,3B/SS,,FA,,,-4.0,17.0,13.0,1.65,-406.9,0.0
