Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Willson Contreras,STL,421.0,3.18,Willson Contreras,11609,575929,1.1000000000000227,False
Jonathan India,KCR,420.0,3.05,Jonathan India,21523,663697,0.10000000000002274,False
Andrew Vaughn,CHW,420.0,2.96,Andrew Vaughn,26197,683734,0.10000000000002274,False
Zack Gelof,ATH,420.0,3.02,Zack Gelof,29766,680869,0.10000000000002274,False
Xavier Edwards,MIA,420.0,3.12,Xavier Edwards,22266,669364,0.10000000000002274,False
Pete Crow-Armstrong,CHC,419.0,3.08,Pete Crow-Armstrong,27769,691718,-0.8999999999999773,False
Nolan Arenado,STL,419.0,2.9,Nolan Arenado,9777,571448,-0.8999999999999773,False
Luis Arraez,SDP,419.0,2.86,Luis Arraez,18568,650333,-0.8999999999999773,False
Jorge Soler,LAA,419.0,3.24,Jorge Soler,14221,624585,-0.8999999999999773,False
Andrés Giménez,TOR,418.0,2.93,Andres Gimenez,19950,665926,-1.8999999999999773,False
Lane Thomas,CLE,418.0,3.22,Lane Thomas,16939,657041,-1.8999999999999773,False
Luis García Jr.,WSN,417.0,3.06,Luis Garcia Jr.,20391,671277,-2.8999999999999773,False
Michael Toglia,COL,417.0,3.13,Michael Toglia,25845,669911,-2.8999999999999773,False
Salvador Perez,KCR,415.0,2.9,Salvador Perez,7304,521692,-4.899999999999977,False
Brice Turang,MIL,414.0,2.97,Brice Turang,22186,668930,-5.899999999999977,False
Max Muncy,LAD,413.0,3.31,Max Muncy,13301,571970,-6.899999999999977,False
Nathaniel Lowe,WSN,413.0,2.94,Nathaniel Lowe,19566,663993,-6.899999999999977,False
Mike Trout,LAA,412.0,3.86,Mike Trout,10155,545361,-7.899999999999977,False
Heliot Ramos,SFG,410.0,3.06,Heliot Ramos,22515,671218,-9.899999999999977,False
Junior Caminero,TBR,409.0,3.14,Junior Caminero,28163,691406,-10.899999999999977,False
Josh Lowe,TBR,408.0,3.26,Josh Lowe,19953,666139,-11.899999999999977,False
Cedric Mullins,BAL,407.0,3.11,Cedric Mullins,17929,656775,-12.899999999999977,False
Daulton Varsho,TOR,406.0,2.98,Daulton Varsho,19918,662139,-13.899999999999977,False
Jasson Domínguez,NYY,406.0,3.18,Jasson Dominguez,28080,691176,-13.899999999999977,False
Lourdes Gurriel Jr.,ARI,405.0,3.05,Lourdes Gurriel Jr.,19238,666971,-14.899999999999977,False
Jesús Sánchez,MIA,402.0,2.99,Jesus Sanchez,19913,660821,-17.899999999999977,False
Royce Lewis,MIN,401.0,3.28,Royce Lewis,20437,668904,-18.899999999999977,False
Michael Busch,CHC,401.0,2.99,Michael Busch,26319,683737,-18.899999999999977,False
Tommy Edman,LAD,399.0,3.04,Tommy Edman,19470,669242,-20.899999999999977,False
Jake Cronenworth,SDP,399.0,2.85,Jake Cronenworth,18036,630105,-20.899999999999977,False
