Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP
Mason Barnett,ATH,13.73,8.35,Mason Barnett,sa3020622,686930,-315.29499999999996
Chandler Champlain,KCR,13.66,2.66,Chandler Champlain,sa3018138,669441,-315.36499999999995
David Buchanan,TEX,13.64,5.34,David Buchanan,11176,571527,-315.385
Wilmer Flores,DET,12.48,1.9,Wilmer Flores,sa3015223,695865,-316.54499999999996
Brandon Hughes,CHC,12.1,2.24,Brandon Hughes,23460,676714,-316.92499999999995
Emiliano Teodo,TEX,12.06,9.31,Emiliano Teodo,sa3015158,693713,-316.965
Chase Hampton,NYY,12.06,7.7,Chase Hampton,sa3020682,694633,-316.965
Ky Bush,CHW,12.05,4.52,Ky Bush,29823,681066,-316.97499999999997
Gavin Hollowell,CHC,11.77,2.24,Gavin Hollowell,25427,668970,-317.255
Jeff Brigham,ARI,11.44,2.47,Jeff Brigham,16631,656257,-317.585
Andrew Morris,MIN,11.27,1.94,Andrew Morris,sa3020569,702193,-317.755
Drue Hackenberg,ATL,11.17,8.39,Drue Hackenberg,sa3023304,802357,-317.85499999999996
Hunter Barco,PIT,10.6,7.37,Hunter Barco,sa3022409,682995,-318.42499999999995
Miguel Díaz,SFG,10.37,2.86,Miguel Diaz,18815,622766,-318.655
Cole Winn,TEX,10.18,1.82,Cole Winn,22113,668390,-318.84499999999997
Chris Murphy,BOS,9.53,2.28,Chris Murphy,26214,669684,-319.495
Camden Minacci,LAA,8.72,1.72,Camden Minacci,sa3022728,695229,-320.30499999999995
Noah Davis,BOS,8.47,3.9,Noah Davis,25862,663562,-320.55499999999995
Jesse Scholtens,CHW,8.44,5.14,Jesse Scholtens,19205,669947,-320.585
Geoff Hartlieb,NYY,8.18,2.39,Geoff Hartlieb,19558,664129,-320.84499999999997
Paolo Espino,,5.88,3.12,Paolo Espino,8246,502179,-323.145
