Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Kris Bubic,KCR,225.01,6.69,Kris Bubic,21455,663460,-113.38800000000003,True
Justin Slaten,BOS,223.87,3.86,Justin Slaten,25648,686580,-114.52800000000002,True
Beau Brieske,DET,222.51,4.21,Beau Brieske,26079,689225,-115.88800000000003,True
Jeremiah Estrada,SDP,222.44,3.79,Jeremiah Estrada,22210,669093,-115.95800000000003,True
Blake Treinen,LAD,221.99,4.28,Blake Treinen,12572,595014,-116.40800000000002,True
Michael Soroka,WSN,221.94,6.36,Michael Soroka,18383,647336,-116.45800000000003,True
Cade Smith,CLE,221.65,3.5,Cade Smith,27867,671922,-116.74800000000002,True
Osvaldo Bido,ATH,217.34,6.98,Osvaldo Bido,23150,674370,-121.05800000000002,True
Paul Blackburn,NYM,217.31,6.08,Paul Blackburn,14739,621112,-121.08800000000002,True
Tylor Megill,NYM,217.21,6.05,Tylor Megill,21318,656731,-121.18800000000002,True
Ryne Nelson,ARI,214.96,5.83,Ryne Nelson,26253,669194,-123.43800000000002,True
Seranthony Domínguez,BAL,214.86,3.56,Seranthony Dominguez,19249,622554,-123.53800000000001,True
Cole Sands,MIN,214.4,3.85,Cole Sands,21461,663485,-123.99800000000002,True
Luis Garcia,HOU,214.27,7.93,Luis Garcia,23735,677651,-124.12800000000001,True
Chad Green,TOR,214.13,3.9,Chad Green,15552,643338,-124.26800000000003,True
Hayden Wesneski,HOU,211.55,5.78,Hayden Wesneski,27581,669713,-126.84800000000001,True
Justin Anderson,CHW,207.27,3.51,Justin Anderson,16201,605121,-131.12800000000001,True
Derek Law,WSN,206.06,3.22,Derek Law,13133,571882,-132.33800000000002,True
José Leclerc,ATH,205.93,3.35,Jose Leclerc,14524,600917,-132.46800000000002,True
Pierce Johnson,ATL,205.71,3.45,Pierce Johnson,13435,572955,-132.68800000000002,True
Yariel Rodríguez,TOR,205.68,5.26,Yariel Rodriguez,33838,684320,-132.71800000000002,True
Reed Garrett,NYM,204.72,3.61,Reed Garrett,16866,657585,-133.67800000000003,True
Joey Cantillo,CLE,204.51,8.63,Joey Cantillo,23335,676282,-133.88800000000003,True
Jorge López,WSN,201.1,3.42,Jorge Lopez,14527,605347,-137.29800000000003,True
Michael Kopech,LAD,200.44,4.14,Michael Kopech,17282,656629,-137.95800000000003,True
Taylor Rogers,CIN,194.96,3.34,Taylor Rogers,13449,573124,-143.43800000000002,True
Tony Santillan,CIN,194.46,3.55,Tony Santillan,19926,663574,-143.93800000000002,True
José Alvarado,PHI,194.42,3.43,Jose Alvarado,17780,621237,-143.97800000000004,True
Yimi García,TOR,194.05,3.6,Yimi Garcia,12095,554340,-144.348,True
Anthony Bender,MIA,193.7,3.48,Anthony Bender,19742,669622,-144.69800000000004,True
Griffin Canning,NYM,193.26,6.25,Griffin Canning,19867,656288,-145.13800000000003,True
Jared Koenig,MIL,192.33,3.49,Jared Koenig,27517,657649,-146.068,True
Dennis Santana,PIT,191.0,3.17,Dennis Santana,17878,642701,-147.39800000000002,True
Garrett Cleavinger,TBR,188.97,3.26,Garrett Cleavinger,17897,664076,-149.42800000000003,True
Garrett Whitlock,BOS,187.95,4.04,Garrett Whitlock,20191,676477,-150.44800000000004,True
Bryan Hudson,MIL,187.77,3.58,Bryan Hudson,19924,663542,-150.62800000000001,True
Keegan Akin,BAL,186.98,3.1,Keegan Akin,19362,669211,-151.41800000000003,True
Victor Vodnik,COL,186.38,3.26,Victor Vodnik,24614,680767,-152.01800000000003,True
Albert Suárez,BAL,185.85,3.78,Albert Suarez,6175,544150,-152.54800000000003,True
Zebby Matthews,MIN,185.32,6.8,Zebby Matthews,31827,805673,-153.07800000000003,True
Aaron Bummer,ATL,185.12,3.07,Aaron Bummer,16258,607481,-153.27800000000002,True
Yennier Cano,BAL,185.08,3.12,Yennier Cano,25911,666974,-153.318,True
Héctor Neris,ATL,185.06,3.53,Hector Neris,11804,593576,-153.33800000000002,True
Evan Phillips,LAD,183.95,3.71,Evan Phillips,17734,623465,-154.44800000000004,True
Manuel Rodríguez,TBR,182.2,3.2,Manuel Rodriguez,20794,655889,-156.19800000000004,True
Fernando Cruz,NYY,180.9,3.04,Fernando Cruz,7048,518585,-157.49800000000002,True
Fraser Ellard,CHW,180.43,2.98,Fraser Ellard,29530,686642,-157.96800000000002,True
Dustin May,LAD,179.13,5.06,Dustin May,19716,669160,-159.26800000000003,True
José Buttó,NYM,178.67,3.56,Jose Butto,23313,676130,-159.72800000000004,True
Jacob Webb,TEX,177.8,2.98,Jacob Webb,19274,657097,-160.598,True
Alex Vesia,LAD,177.73,3.13,Alex Vesia,25007,681911,-160.66800000000003,True
Kyle Hart,SDP,176.77,6.65,Kyle Hart,19646,606996,-161.62800000000001,True
Bryse Wilson,CHW,176.73,5.08,Bryse Wilson,19990,669060,-161.66800000000003,True
Kyle Wright,KCR,176.57,6.92,Kyle Wright,19665,657140,-161.82800000000003,True
Jose A. Ferrer,WSN,176.37,3.04,Jose A. Ferrer,24017,678606,-162.02800000000002,True
A.J. Minter,NYM,175.98,3.4,A.J. Minter,18655,621345,-162.41800000000003,True
Will Vest,DET,174.82,2.89,Will Vest,19769,676684,-163.57800000000003,True
JoJo Romero,STL,173.3,3.13,JoJo Romero,19574,668941,-165.098,True
Michel Otañez,ATH,173.18,3.2,Michel Otanez,22533,671305,-165.21800000000002,True
Will Warren,NYY,172.76,5.46,Will Warren,30182,701542,-165.63800000000003,True
Dylan Lee,ATL,171.98,3.06,Dylan Lee,19996,669276,-166.41800000000003,True
Andrew Nardi,MIA,170.93,3.25,Andrew Nardi,25942,677053,-167.46800000000002,True
Matthew Liberatore,STL,170.76,3.53,Matthew Liberatore,22294,669461,-167.63800000000003,True
Paul Sewald,CLE,170.31,3.25,Paul Sewald,13892,623149,-168.08800000000002,True
Tyler Ferguson,ATH,170.25,2.91,Tyler Ferguson,19481,621053,-168.14800000000002,True
Dane Dunning,TEX,170.05,3.76,Dane Dunning,19409,641540,-168.348,True
Landen Roupp,SFG,169.71,4.73,Landen Roupp,30076,694738,-168.68800000000002,True
Trent Thornton,SEA,168.69,2.87,Trent Thornton,17948,663423,-169.70800000000003,True
Hunter Harvey,KCR,168.5,3.01,Hunter Harvey,15507,640451,-169.89800000000002,True
Tyler Rogers,SFG,167.67,2.54,Tyler Rogers,15541,643511,-170.72800000000004,True
AJ Smith-Shawver,ATL,166.96,5.41,AJ Smith-Shawver,29960,700363,-171.43800000000002,True
Ryne Stanek,NYM,166.95,2.97,Ryne Stanek,15947,592773,-171.44800000000004,True
Yuki Matsui,SDP,166.62,3.11,Yuki Matsui,33826,673513,-171.77800000000002,True
Emilio Pagán,CIN,166.45,2.95,Emilio Pagan,14771,641941,-171.94800000000004,True
David Robertson,,164.38,4.17,David Robertson,8241,502085,-174.01800000000003,True
Erik Miller,SFG,163.37,2.82,Erik Miller,26252,669062,-175.02800000000002,True
Gregory Soto,BAL,163.08,2.92,Gregory Soto,19677,642397,-175.318,True
Hunter Gaddis,CLE,162.94,2.91,Hunter Gaddis,25636,683769,-175.45800000000003,True
Colin Holderman,PIT,162.93,2.86,Colin Holderman,22361,670059,-175.46800000000002,True
J.T. Ginn,ATH,162.37,6.72,J.T. Ginn,27889,669372,-176.02800000000002,True
Gus Varland,CHW,162.35,2.96,Gus Varland,24737,681402,-176.04800000000003,True
José Suarez,LAA,162.17,3.86,Jose Suarez,19911,660761,-176.22800000000004,True
Mark Leiter Jr.,NYY,162.15,3.01,Mark Leiter Jr.,15551,643410,-176.24800000000002,True
Ryan Fernandez,STL,161.79,2.75,Ryan Fernandez,24862,681676,-176.60800000000003,True
Adrian Morejon,SDP,160.77,2.89,Adrian Morejon,20039,670970,-177.62800000000001,True
Tanner Banks,PHI,160.76,2.8,Tanner Banks,16990,621383,-177.63800000000003,True
Tayler Scott,HOU,160.32,2.81,Tayler Scott,13652,605463,-178.07800000000003,True
Ian Hamilton,NYY,158.79,3.26,Ian Hamilton,19261,641656,-179.60800000000003,True
Nick Sandlin,TOR,158.77,2.75,Nick Sandlin,20517,680704,-179.62800000000001,True
Brock Burke,LAA,158.5,2.79,Brock Burke,17968,656271,-179.89800000000002,True
Ryan Thompson,ARI,158.48,2.72,Ryan Thompson,16647,657044,-179.91800000000003,True
Tyson Miller,CHC,157.48,3.05,Tyson Miller,19976,668338,-180.91800000000003,True
Tim Herrin,CLE,156.91,2.74,Tim Herrin,25139,682120,-181.48800000000003,True
Colin Poche,WSN,156.77,3.25,Colin Poche,19403,621363,-181.62800000000001,True
Nate Pearson,CHC,156.5,3.06,Nate Pearson,20160,663878,-181.89800000000002,True
Craig Kimbrel,,155.6,4.1,Craig Kimbrel,6655,518886,-182.79800000000003,True
Scott Barlow,CIN,153.87,2.77,Scott Barlow,14993,605130,-184.52800000000002,True
Gregory Santos,SEA,153.55,3.17,Gregory Santos,21894,666619,-184.848,True
Erik Swanson,TOR,153.4,3.01,Erik Swanson,16587,657024,-184.99800000000002,True
Kenta Maeda,DET,152.74,4.56,Kenta Maeda,18498,628317,-185.65800000000002,True
Hans Crouse,LAA,151.27,3.08,Hans Crouse,22192,668968,-187.12800000000001,True
Jorge Alcala,MIN,150.31,2.68,Jorge Alcala,19459,660896,-188.08800000000002,True
Shawn Armstrong,TEX,150.11,2.6,Shawn Armstrong,12857,542888,-188.288,True
Declan Cronin,MIA,150.03,2.57,Declan Cronin,25645,686539,-188.36800000000002,True
Carmen Mlodzinski,PIT,149.47,2.92,Carmen Mlodzinski,27572,669387,-188.92800000000003,True
Nick Mears,MIL,149.02,2.74,Nick Mears,25376,683232,-189.37800000000001,True
Aaron Ashby,MIL,146.87,4.63,Aaron Ashby,23550,676879,-191.52800000000002,True
John Schreiber,KCR,145.24,2.61,John Schreiber,20020,670167,-193.15800000000002,True
Collin Snider,SEA,145.0,2.69,Collin Snider,23307,676092,-193.39800000000002,True
Joe Mantiply,ARI,142.93,2.53,Joe Mantiply,14857,573009,-195.46800000000002,True
Keegan Thompson,CHC,142.42,3.35,Keegan Thompson,19795,624522,-195.97800000000004,True
Jake Cousins,NYY,142.36,3.03,Jake Cousins,21620,664776,-196.038,True
Jakob Junis,CLE,141.04,3.93,Jakob Junis,13619,596001,-197.35800000000003,True
Dedniel Núñez,NYM,140.35,3.39,Dedniel Nunez,23055,673380,-198.04800000000003,True
Luis Peralta,COL,140.19,2.46,Luis Peralta,24203,678821,-198.20800000000003,True
Elvis Peguero,MIL,140.17,2.79,Elvis Peguero,21652,665625,-198.22800000000004,True
Justin Lawrence,PIT,138.63,2.6,Justin Lawrence,17639,664875,-199.76800000000003,True
Matt Brash,SEA,138.42,3.89,Matt Brash,25756,666374,-199.97800000000004,True
Brock Stewart,MIN,138.34,2.95,Brock Stewart,16727,592779,-200.05800000000002,True
Ryan Brasier,CHC,137.11,2.75,Ryan Brasier,5615,518489,-201.288,True
Mason Montgomery,TBR,137.0,2.84,Mason Montgomery,29770,682254,-201.39800000000002,True
Greg Weissert,BOS,136.94,2.59,Greg Weissert,20375,669711,-201.45800000000003,True
Kaleb Ort,HOU,136.86,2.61,Kaleb Ort,20061,672391,-201.538,True
Louis Varland,MIN,136.84,3.38,Louis Varland,27691,686973,-201.55800000000002,True
José Quijada,LAA,136.61,2.66,Jose Quijada,19200,650671,-201.788,True
Shane Smith,CHW,136.41,3.27,Shane Smith,sa3020469,681343,-201.98800000000003,True
Sean Hjelle,SFG,136.12,2.65,Sean Hjelle,21481,663546,-202.27800000000002,True
Michael McGreevy,STL,135.76,3.82,Michael McGreevy,29869,700241,-202.63800000000003,True
Caleb Ferguson,PIT,135.02,2.49,Caleb Ferguson,19349,657571,-203.37800000000001,True
Dylan Floro,ATH,134.85,2.52,Dylan Floro,13394,571670,-203.54800000000003,True
Brant Hurter,DET,134.49,3.49,Brant Hurter,30133,676428,-203.90800000000002,True
Andrew Chafin,DET,134.26,2.87,Andrew Chafin,12988,605177,-204.13800000000003,True
Sam Moll,CIN,133.36,2.46,Sam Moll,14874,594580,-205.038,True
Joe Ross,PHI,133.12,3.59,Joe Ross,12972,605452,-205.27800000000002,True
Cam Booser,CHW,132.96,2.53,Cam Booser,16061,592155,-205.43800000000002,True
Tayler Saucedo,SEA,132.9,2.43,Tayler Saucedo,17888,642048,-205.49800000000002,True
Shinnosuke Ogasawara,WSN,131.91,4.65,Shinnosuke Ogasawara,sa3058454,829272,-206.48800000000003,True
Johan Oviedo,PIT,131.46,6.25,Johan Oviedo,22487,670912,-206.93800000000002,True
Alex Faedo,TBR,131.04,3.23,Alex Faedo,19874,656412,-207.35800000000003,True
Lucas Sims,WSN,131.0,2.51,Lucas Sims,13470,608371,-207.39800000000002,True
Anthony Banda,LAD,130.97,2.66,Anthony Banda,14706,607455,-207.42800000000003,True
Danny Coulombe,MIN,130.83,2.79,Danny Coulombe,13293,543056,-207.568,True
Hoby Milner,TEX,130.68,2.45,Hoby Milner,13346,571948,-207.71800000000002,True
Michael Tonkin,MIN,130.55,2.85,Michael Tonkin,10315,543859,-207.848,True
Daysbel Hernández,ATL,130.54,3.07,Daysbel Hernandez,20271,678226,-207.85800000000003,True
Angel Perdomo,ATL,130.52,2.88,Angel Perdomo,17759,622780,-207.87800000000001,True
Andrew Kittredge,BAL,130.5,3.22,Andrew Kittredge,12828,552640,-207.89800000000002,True
Luke Jackson,TEX,130.21,2.74,Luke Jackson,11752,592426,-208.18800000000002,True
Ben Brown,CHC,129.64,5.19,Ben Brown,23590,676962,-208.75800000000004,True
Joey Wentz,PIT,129.55,2.74,Joey Wentz,19962,666214,-208.848,True
Tommy Kahnle,DET,129.42,2.79,Tommy Kahnle,11384,592454,-208.97800000000004,True
José Ruiz,PHI,128.86,2.5,Jose Ruiz,14552,614179,-209.538,True
Caleb Thielbar,CHC,128.05,2.66,Caleb Thielbar,10078,573204,-210.348,True
Yilber Diaz,ARI,127.98,4.04,Yilber Diaz,29271,700270,-210.418,True
Chris Stratton,KCR,127.94,2.51,Chris Stratton,13761,608717,-210.45800000000003,True
Ryan Zeferjahn,LAA,127.35,2.67,Ryan Zeferjahn,25420,666171,-211.04800000000003,True
Brent Suter,CIN,127.29,2.47,Brent Suter,13942,608718,-211.108,True
Danny Young,NYM,126.58,2.72,Danny Young,18439,664849,-211.81800000000004,True
Cionel Pérez,BAL,126.5,2.33,Cionel Perez,19614,672335,-211.89800000000002,True
Jordan Leasure,CHW,126.23,2.75,Jordan Leasure,29950,673929,-212.168,True
Joe Boyle,TBR,126.22,4.6,Joe Boyle,29608,671212,-212.17800000000003,True
Landon Knack,LAD,126.21,4.18,Landon Knack,27487,689017,-212.18800000000005,True
Angel Chivilli,COL,125.07,2.54,Angel Chivilli,26790,683409,-213.32800000000003,True
Bryan Hoeing,SDP,124.6,2.71,Bryan Hoeing,26304,663773,-213.79800000000003,True
Shelby Miller,ARI,124.17,2.72,Shelby Miller,10197,571946,-214.228,True
Abner Uribe,MIL,124.02,3.25,Abner Uribe,25327,682842,-214.37800000000004,True
Gunnar Hoglund,ATH,123.9,4.74,Gunnar Hoglund,sa3019785,680684,-214.49800000000002,True
Kevin Kelly,TBR,123.89,2.65,Kevin Kelly,25679,687330,-214.50800000000004,True
Scott Alexander,COL,123.21,2.4,Scott Alexander,10591,518397,-215.18800000000005,True
Angel Zerpa,KCR,121.52,2.39,Angel Zerpa,22717,672582,-216.87800000000004,True
Erik Sabrowski,CLE,120.14,2.93,Erik Sabrowski,24978,681870,-218.25800000000004,True
John King,STL,119.11,2.2,John King,22051,667463,-219.288,True
Jalen Beeks,HOU,119.08,2.7,Jalen Beeks,17192,656222,-219.31800000000004,True
Hunter Bigge,TBR,118.39,2.43,Hunter Bigge,26259,685801,-220.00800000000004,True
Daniel Lynch IV,KCR,118.35,3.32,Daniel Lynch IV,21537,663738,-220.04800000000003,True
Wandy Peralta,SDP,117.93,2.51,Wandy Peralta,14295,593974,-220.46800000000002,True
Bryan King,HOU,117.71,2.42,Bryan King,25890,687911,-220.68800000000005,True
Phil Maton,,116.67,2.44,Phil Maton,18064,664208,-221.728,True
Sam Long,KCR,116.25,2.49,Sam Long,25379,669674,-222.14800000000002,True
Valente Bellozo,MIA,116.06,5.29,Valente Bellozo,23899,678368,-222.33800000000002,True
Kendall Graveman,ARI,116.05,2.72,Kendall Graveman,15514,608665,-222.348,True
Randy Rodríguez,SFG,115.88,2.84,Randy Rodriguez,23974,678495,-222.51800000000003,True
Buck Farmer,ATL,115.61,2.51,Buck Farmer,14814,571656,-222.788,True
Josh Winckowski,BOS,114.96,2.78,Josh Winckowski,22387,670174,-223.43800000000005,True
DL Hall,MIL,114.75,4.35,DL Hall,22207,669084,-223.64800000000002,True
Alex Lange,DET,114.56,3.87,Alex Lange,19883,656638,-223.83800000000002,True
John Brebbia,DET,114.52,2.46,John Brebbia,12777,605154,-223.87800000000004,True
Julian Merryweather,CHC,113.99,2.75,Julian Merryweather,16703,657240,-224.40800000000002,True
Grant Holman,ATH,113.78,2.27,Grant Holman,30002,680880,-224.61800000000002,True
Graham Ashcraft,CIN,113.27,2.98,Graham Ashcraft,27552,668933,-225.12800000000004,True
Jared Shuster,CHW,113.23,3.01,Jared Shuster,27472,694363,-225.168,True
Justin Wilson,BOS,113.01,2.22,Justin Wilson,4301,458677,-225.38800000000003,True
Brady Basso,ATH,112.94,3.51,Brady Basso,25582,669620,-225.45800000000003,True
Troy Taylor,SEA,112.53,2.47,Troy Taylor,31883,700187,-225.86800000000002,True
Bobby Miller,LAD,112.45,4.04,Bobby Miller,27483,676272,-225.94800000000004,True
Eli Morgan,CHC,111.62,2.71,Eli Morgan,20203,669212,-226.77800000000002,True
Tim Hill,NYY,111.0,1.99,Tim Hill,16814,657612,-227.39800000000002,True
Jake Bird,COL,109.96,2.36,Jake Bird,21267,656234,-228.43800000000005,True
Kyle Nicolas,PIT,108.79,2.41,Kyle Nicolas,27775,693312,-229.608,True
Andrew Walters,CLE,108.59,2.46,Andrew Walters,33834,689958,-229.80800000000002,True
Brendon Little,TOR,108.47,2.12,Brendon Little,21574,663893,-229.92800000000003,True
Kyle Leahy,STL,108.32,2.41,Kyle Leahy,24763,681517,-230.07800000000003,True
Gabe Speier,SEA,108.12,2.3,Gabe Speier,17170,642100,-230.27800000000002,True
Brennan Bernardino,BOS,107.56,2.5,Brennan Bernardino,16835,657514,-230.83800000000002,True
Carson Spiers,CIN,107.42,3.55,Carson Spiers,27685,686730,-230.978,True
Marc Church,TEX,107.38,2.73,Marc Church,26353,687847,-231.01800000000003,True
Lake Bachar,MIA,107.22,2.21,Lake Bachar,19222,669199,-231.17800000000003,True
Tristan Beck,SFG,107.02,2.94,Tristan Beck,21584,663941,-231.37800000000004,True
Tanner Rainey,PIT,106.97,3.08,Tanner Rainey,17610,663432,-231.42800000000003,True
Michael Fulmer,BOS,106.8,2.49,Michael Fulmer,13218,605242,-231.598,True
Tyler Alexander,MIL,106.73,3.56,Tyler Alexander,17735,641302,-231.668,True
Taijuan Walker,PHI,106.63,3.61,Taijuan Walker,11836,592836,-231.76800000000003,True
Chase Silseth,LAA,106.07,3.6,Chase Silseth,30074,681217,-232.32800000000003,True
Forrest Whitley,HOU,105.79,2.63,Forrest Whitley,19586,666215,-232.608,True
Bryan Baker,BAL,105.1,2.68,Bryan Baker,19804,641329,-233.29800000000003,True
Anthony Veneziano,MIA,104.52,2.37,Anthony Veneziano,27453,685107,-233.87800000000004,True
Austin Voth,,104.24,2.47,Austin Voth,15047,608723,-234.15800000000002,True
Riley O'Brien,STL,103.6,2.47,Riley O'Brien,20348,676617,-234.79800000000003,True
Evan Reifert,WSN,103.46,2.66,Evan Reifert,sa3014860,682126,-234.93800000000005,True
Drey Jameson,ARI,103.08,3.03,Drey Jameson,26260,686753,-235.31800000000004,True
T.J. McFarland,ATH,102.09,1.77,T.J. McFarland,3237,519008,-236.30800000000002,True
Rafael Montero,HOU,102.03,2.49,Rafael Montero,12760,606160,-236.36800000000002,True
Adam Ottavino,BOS,101.28,2.65,Adam Ottavino,1247,493603,-237.11800000000002,True
JT Brubaker,NYY,100.82,3.22,JT Brubaker,17578,664141,-237.57800000000003,True
Jhony Brito,SDP,99.77,3.56,Jhony Brito,25386,666745,-238.62800000000004,True
Hogan Harris,ATH,99.45,3.05,Hogan Harris,21520,663687,-238.94800000000004,True
Josh Sborz,TEX,99.31,3.42,Josh Sborz,18323,622250,-239.08800000000002,True
Huascar Brazobán,NYM,98.84,2.54,Huascar Brazoban,6107,623211,-239.55800000000002,True
Stephen Kolek,SDP,98.2,3.03,Stephen Kolek,21487,663568,-240.19800000000004,True
Sean Guenther,DET,97.07,2.66,Sean Guenther,20045,674944,-241.32800000000003,True
Justin Topa,MIN,96.76,2.58,Justin Topa,15145,623437,-241.63800000000003,True
Drew Smyly,,96.04,2.95,Drew Smyly,11760,592767,-242.358,True
Ryan Burr,TOR,95.62,2.5,Ryan Burr,17536,621114,-242.77800000000002,True
Slade Cecconi,CLE,95.3,3.65,Slade Cecconi,27500,677944,-243.098,True
Seth Martinez,SEA,95.28,2.47,Seth Martinez,21045,661527,-243.11800000000002,True
Mike Burrows,PIT,94.87,3.76,Mike Burrows,24728,681347,-243.52800000000002,True
Richard Fitts,BOS,94.82,3.95,Richard Fitts,30160,690916,-243.57800000000003,True
Pedro Avila,,94.32,4.66,Pedro Avila,18864,658648,-244.07800000000003,True
Nick Hernandez,HOU,94.27,2.7,Nick Hernandez,19281,663321,-244.12800000000004,True
Zach Brzykcy,WSN,93.36,2.24,Zach Brzykcy,27783,694350,-245.038,True
Justin Sterner,ATH,93.27,2.69,Justin Sterner,27694,686993,-245.12800000000004,True
Jacob Latz,TEX,93.25,2.3,Jacob Latz,21306,656641,-245.14800000000002,True
Jacob Waguespack,TBR,92.65,3.04,Jacob Waguespack,18318,621097,-245.74800000000002,True
Tommy Nance,TOR,92.56,2.32,Tommy Nance,19178,667297,-245.83800000000002,True
Craig Yoho,MIL,92.21,2.68,Craig Yoho,sa3023032,684974,-246.18800000000005,True
Chayce McDermott,BAL,92.17,5.66,Chayce McDermott,29866,694646,-246.228,True
Ryan Yarbrough,TOR,92.01,3.38,Ryan Yarbrough,16502,642232,-246.38800000000003,True
Max Lazar,PHI,91.48,2.58,Max Lazar,23426,676661,-246.918,True
Zack Thompson,STL,91.17,2.99,Zack Thompson,25918,668868,-247.228,True
Mason Black,SFG,90.99,3.93,Mason Black,30171,696131,-247.40800000000002,True
Kody Funderburk,MIN,90.57,2.69,Kody Funderburk,24993,681892,-247.82800000000003,True
Doug Nikhazy,CLE,90.47,2.67,Doug Nikhazy,sa3018110,680951,-247.92800000000003,True
Tim Mayza,PIT,89.37,1.96,Tim Mayza,15042,641835,-249.02800000000002,True
James McArthur,KCR,89.3,3.04,James McArthur,21527,663704,-249.098,True
Brent Headrick,NYY,88.57,3.02,Brent Headrick,27702,687396,-249.82800000000003,True
Luke Little,CHC,88.36,2.83,Luke Little,28036,681432,-250.038,True
Matt Manning,DET,88.2,3.91,Matt Manning,20369,666159,-250.19800000000004,True
Spencer Bivens,SFG,88.17,3.11,Spencer Bivens,30226,702352,-250.228,True
