NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Matt Shaw,CHC,2B/3B/SS,,Cheating Raiders,U,$-,-43.0,396.0,353.0,3.05,-66.89999999999998,0.0
Jackson Holliday,BAL,2B,21.0,Country Strong,9,$1.15,-76.0,411.0,335.0,2.79,-84.89999999999998,0.0
Thairo Estrada,COL,2B,29.0,FA,1,$1.00,-58.0,387.0,329.0,2.85,-90.89999999999998,0.0
Michael Massey,KCR,2B,,FA,,,108.0,213.0,321.0,2.75,-98.89999999999998,0.0
Nolan Gorman,STL,2B,25.0,Country Strong,2,$1.00,-98.0,417.0,319.0,2.96,-100.89999999999998,0.0
Otto Lopez,MIA,2B,26.0,FA,1,$1.00,-1.0,319.0,318.0,2.78,-101.89999999999998,0.0
Nick Gonzales,PIT,2B,26.0,FA,1,$1.00,-73.0,389.0,316.0,2.82,-103.89999999999998,0.0
Gavin Lux,CIN,2B,27.0,Bayou Shooters,1,60%,-29.0,345.0,316.0,2.79,-103.89999999999998,0.0
Isiah Kiner-Falefa,PIT,2B/3B/SS,,FA,,,87.0,223.0,310.0,2.49,-109.89999999999998,0.0
Jorge Polanco,SEA,2B,31.0,FA,1,$1.00,-4.0,314.0,310.0,2.75,-109.89999999999998,0.0
Jeff McNeil,NYM,2B,33.0,Young Bucks,0,AAA opt,-20.0,328.0,308.0,2.57,-111.89999999999998,0.0
Spencer Horwitz,PIT,2B/1B,,FA,,,-141.0,429.0,288.0,2.89,-131.89999999999998,0.0
Dylan Moore,SEA,2B/OF/3B/SS,32.0,FA,1,$1.00,-143.0,427.0,284.0,2.81,-135.89999999999998,0.0
Hyeseong Kim,LAD,2B,,FA,,,-29.0,312.0,283.0,2.79,-136.89999999999998,0.0
Lenyn Sosa,CHW,2B/3B,,FA,,,87.0,147.0,234.0,2.46,-185.9,0.0
Jose Caballero,TBR,2B/3B/SS,28.0,FA,1,$1.00,-181.0,415.0,234.0,2.86,-185.9,0.0
Mauricio Dubon,HOU,2B/OF/1B,,FA,,,-48.0,275.0,227.0,2.32,-192.9,0.0
Will Wagner,TOR,2B,,FA,,,160.0,64.0,224.0,2.63,-195.9,0.0
Ryan Bliss,SEA,2B,,FA,,,176.0,43.0,219.0,2.46,-200.9,0.0
Richie Palacios,TBR,2B/OF,,FA,,,-36.0,255.0,219.0,2.71,-200.9,0.0
Edouard Julien,MIN,2B,26.0,Springfield Zephyrs,2,$1.00,-140.0,355.0,215.0,2.66,-204.9,0.0
Kristian Campbell,BOS,2B/OF/SS,,FA,,,107.0,103.0,210.0,3.09,-209.9,0.0
Christian Moore,LAA,2B,,FA,,,144.0,65.0,209.0,2.88,-210.9,0.0
Caleb Durbin,MIL,2B/3B,,FA,,,-118.0,309.0,191.0,2.84,-228.9,0.0
Juan Brito,CLE,2B/3B/1B,,FA,,,146.0,40.0,186.0,2.64,-233.9,0.0
Chris Taylor,LAD,2B/OF/3B,,FA,,,1.0,185.0,186.0,2.58,-233.9,0.0
Brendan Rodgers,HOU,2B,28.0,Detroit Nittany Tide,2,$1.00,128.0,57.0,185.0,2.57,-234.9,0.0
Kyle Farmer,COL,2B/3B,,FA,,,55.0,125.0,180.0,2.3,-239.9,0.0
Brandon Drury,CHW,2B,32.0,Dip City Thunder,0,AAA opt,105.0,73.0,178.0,2.55,-241.9,0.0
Davis Schneider,TOR,2B/OF,,FA,,,-48.0,217.0,169.0,2.73,-250.9,0.0
