NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Evan Sisk,KCR,RP,,FA,,,-45.14,99.0,53.86,2.58,-284.538,0.0
Orlando Ribalta,WSN,RP,,FA,,,12.75,41.0,53.75,2.02,-284.648,0.0
Brooks Raley,,RP,,FA,,,-7.84,61.0,53.16,2.72,-285.23800000000006,0.0
Jonathan Bowlan,KCR,SP/RP,,FA,,,17.15,36.0,53.15,2.55,-285.24800000000005,0.0
Yunior Marte,,RP,,FA,,,-13.73,66.0,52.27,2.23,-286.12800000000004,0.0
Diego Castillo,COL,RP,,FA,,,-6.11,58.0,51.89,2.16,-286.50800000000004,0.0
JT Chargois,TEX,RP,,FA,,,-40.13,92.0,51.87,2.44,-286.528,0.0
Shintaro Fujinami,SEA,RP,,FA,,,-37.17,89.0,51.83,2.7,-286.56800000000004,0.0
Austin Adams,BOS,RP,,FA,,,-44.34,96.0,51.66,2.17,-286.73800000000006,0.0
Joe Jimenez,ATL,RP,,FA,,,-47.63,99.0,51.37,2.66,-287.028,0.0
Brent Honeywell,,RP,30.0,FA,1,$1.00,-23.98,75.0,51.02,3.11,-287.37800000000004,0.0
Scott McGough,ARI,RP,,FA,,,-30.99,82.0,51.01,2.66,-287.38800000000003,0.0
Devin Sweet,PHI,RP,,FA,,,-31.22,82.0,50.78,2.79,-287.61800000000005,0.0
Deivi Garcia,MIL,RP,,FA,,,9.22,41.0,50.22,3.15,-288.178,0.0
Eric Orze,TBR,RP,,FA,,,-5.76,55.0,49.24,2.39,-289.158,0.0
Yohan Ramirez,PIT,RP,,FA,,,-40.11,89.0,48.89,2.26,-289.50800000000004,0.0
Ryan Loutos,STL,RP,,FA,,,13.28,35.0,48.28,2.14,-290.11800000000005,0.0
Amos Willingham,ATL,RP,,FA,,,1.21,47.0,48.21,2.36,-290.18800000000005,0.0
Luis Curvelo,TEX,RP,,FA,,,-40.1,88.0,47.9,2.44,-290.49800000000005,0.0
Will Klein,SEA,RP,,FA,,,3.47,44.0,47.47,2.16,-290.928,0.0
Carson Fulmer,PIT,SP/RP,,FA,,,-49.66,97.0,47.34,3.41,-291.058,0.0
Victor Gonzalez,LAA,RP,,FA,,,47.21,0.0,47.21,2.35,-291.18800000000005,0.0
Caleb Kilian,CHC,SP/RP,,FA,,,6.99,40.0,46.99,3.27,-291.408,0.0
Jose Cisnero,,RP,,FA,,,-8.03,55.0,46.97,2.51,-291.428,0.0
Colten Brewer,NYY,RP,,FA,,,-1.06,48.0,46.94,2.46,-291.458,0.0
Jack Neely,CHC,RP,,FA,,,1.71,45.0,46.71,2.29,-291.68800000000005,0.0
Michael Kelly,ATH,RP,,FA,,,46.37,0.0,46.37,2.59,-292.028,0.0
Jackson Kowar,SEA,RP,,FA,,,-7.77,54.0,46.23,2.32,-292.168,0.0
Edgardo Henriquez,LAD,RP,,FA,,,1.0,45.0,46.0,2.68,-292.398,0.0
Jeff Criswell,COL,RP,,FA,,,-6.47,52.0,45.53,3.03,-292.86800000000005,0.0
Matt Barnes,,RP,,FA,,,-3.53,49.0,45.47,2.03,-292.928,0.0
Joely Rodriguez,BOS,RP,,FA,,,3.39,42.0,45.39,2.23,-293.00800000000004,0.0
Brandon Eisert,CHW,RP,,FA,,,-25.41,70.0,44.59,2.4,-293.808,0.0
Adam Cimber,,RP,,FA,,,-4.7,49.0,44.3,2.35,-294.098,0.0
